id_produto,nome,descricao,preco,id_categoria,estoque_minimo,quantidade_estoque,ativo
1,Notebook Dell Inspiron,Notebook Intel i7 16GB RAM 512GB SSD,3500.00,1,5,15,true
2,Mouse Logitech MX Master,Mouse sem fio ergonômico,350.00,1,10,50,true
3,Teclado Mecânico Keychron,Teclado mecânico RGB switches red,650.00,1,8,25,true
4,Monitor LG 27 4K,Monitor 27 polegadas resolução 4K,2200.00,1,3,10,true
5,Webcam Logitech C920,Webcam Full HD 1080p,450.00,1,12,30,true
6,Fone JBL Tune 750,Fone de ouvido bluetooth over-ear,280.00,1,15,40,true
7,Clean Code,Livro sobre código limpo - Robert Martin,65.00,2,20,100,true
8,Design Patterns,Padrões de projeto - Gang of Four,85.00,2,15,80,true
9,O Programador Pragmático,Guia para desenvolvedor profissional,70.00,2,18,90,true
10,Algoritmos,Teoria e prática - Cormen,180.00,2,5,25,true
11,Camiseta Básica Branca,Camiseta 100% algodão,39.90,3,50,200,true
12,Calça Jeans Azul,Calça jeans masculina corte regular,120.00,3,30,150,true
13,Tênis Nike Air,Tênis esportivo Nike Air Max,450.00,3,20,80,true
14,Jaqueta de Couro,Jaqueta couro legítimo preta,890.00,3,10,30,true
15,Café Especial 250g,Café torrado e moído especial,25.00,4,100,500,true
16,Chocolate Lindt 100g,Chocolate suíço ao leite,18.00,4,80,400,true
17,Azeite Extra Virgem 500ml,Azeite português extra virgem,45.00,4,60,200,true
18,Cadeira Gamer DT3,Cadeira gamer ergonômica,1200.00,5,5,20,true
19,Mesa de Escritório,Mesa escritório 120x60cm madeira,650.00,5,8,25,true
20,Estante de Livros,Estante 5 prateleiras MDF,320.00,5,10,35,true
21,Smartphone Samsung Galaxy,Smartphone 128GB câmera 64MP,2500.00,1,10,45,true
22,Tablet Apple iPad,Tablet 10.2 polegadas 64GB,3200.00,1,5,18,true
23,Impressora HP LaserJet,Impressora laser monocromática,850.00,1,6,22,true
24,SSD Kingston 1TB,SSD NVMe M.2 1TB,650.00,1,15,60,true
25,Python Fluente,Programação clara concisa e eficaz,95.00,2,12,70,true
26,Estruturas de Dados,Algoritmos em Java,110.00,2,10,55,true
27,Camisa Social Azul,Camisa social manga longa slim,89.90,3,25,120,true
28,Bermuda Cargo,Bermuda cargo masculina com bolsos,75.00,3,30,140,true
29,Mel Orgânico 500g,Mel puro de abelha orgânico,38.00,4,50,280,true
30,Granola Premium 1kg,Granola com frutas e castanhas,32.00,4,70,350,true
